TipoDocumento,Documento,NombreCompleto,Caracterizacion
C.C,100001,Juan Perez,embargar
C.C,100003,Miguel Ramirez,embargar
C.C,100005,Carlos Sanchez,embargar
C.C,100007,Jose Rojas,embargar
C.C,100009,Juan David,embargar
C.C,100011,Fernando Ruiz,embargar
C.C,100013,Oscar Suarez,embargar
C.C,100015,Martin Silva,embargar
C.C,100017,Andres Ortiz,embargar
C.C,100019,Ricardo Mora,embargar
C.C,100021,Luis Mendoza,embargar
C.C,100023,Jorge Ibanez,embargar
C.C,100025,Rafael Camargo,embargar
C.C,100027,Samuel Castro,embargar
C.C,100029,David Quintero,embargar
C.C,100031,Kevin Castillo,embargar
C.C,100033,Julian Herrera,embargar
C.C,100035,Diego Prieto,embargar
C.C,100037,Armando Cardenas,embargar
C.C,100039,Camilo Gil,embargar
C.C,100041,Fabian Carvajal,embargar
C.C,100043,Francisco Murcia,embargar
C.C,100045,Sebastian Nieto,embargar
C.C,100047,Oscar Amaya,embargar
C.C,100049,Victor Jaramillo,embargar
C.C,100051,Esteban Lara,embargar
C.C,100053,Armando Mu�oz,embargar
C.C,100055,Jaime Navarrete,embargar
C.C,100057,Hernan Pe�a,embargar
C.C,100059,Cristian Paz,embargar
C.C,100061,Raul Montoya,embargar
C.C,100063,Felipe Vargas,embargar
C.C,100065,Edwin Beltran,embargar
C.C,100067,Brayan Vega,embargar
C.C,100069,Rafael Bustos,embargar
C.C,100071,Alberto Quintero,embargar
C.C,100073,Camilo Pardo,embargar
C.C,100075,Ignacio Guevara,embargar
C.C,100077,Martin Arias,embargar
C.C,100079,Victor Valencia,embargar
C.C,100081,Guillermo Triana,embargar
C.C,100083,Emilio Olivares,embargar
C.C,100085,Lucas Barrera,embargar
C.C,100087,Rodrigo Vergara,embargar
C.C,100089,Santiago Varela,embargar
C.C,100091,Julio Suarez,embargar
C.C,100093,Diego Gutierrez,embargar
C.C,100095,German Osorio,embargar
C.C,100097,Fernando Correa,embargar
C.C,100099,Rafael Buitrago,embargar
